2013-12-03 16:11:15 status unpacked libaudit1:amd64 1:2.2.2-1ubuntu4
2013-12-03 16:11:15 status unpacked libaudit1:amd64 1:2.2.2-1ubuntu4
2013-12-03 16:11:16 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu9
2013-12-03 16:11:16 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:16 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:16 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:16 install libbz2-1.0:amd64 <none> 1.0.6-4
2013-12-03 16:11:16 status half-installed libbz2-1.0:amd64 1.0.6-4
2013-12-03 16:11:16 status unpacked libbz2-1.0:amd64 1.0.6-4
2013-12-03 16:11:17 status unpacked libbz2-1.0:amd64 1.0.6-4
2013-12-03 16:11:17 install libc-bin:amd64 <none> 2.17-93ubuntu4
2013-12-03 16:11:17 status half-installed libc-bin:amd64 2.17-93ubuntu4
2013-12-03 16:11:17 status unpacked libc-bin:amd64 2.17-93ubuntu4
2013-12-03 16:11:17 status unpacked libc-bin:amd64 2.17-93ubuntu4
2013-12-03 16:11:18 upgrade libc6:amd64 2.17-93ubuntu4 2.17-93ubuntu4
2013-12-03 16:11:18 status half-configured libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:18 status unpacked libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:18 status half-installed libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:19 status half-installed libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:19 status unpacked libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:19 status unpacked libc6:amd64 2.17-93ubuntu4
2013-12-03 16:11:20 install libcap2:amd64 <none> 1:2.22-1.2ubuntu2
2013-12-03 16:11:20 status half-installed libcap2:amd64 1:2.22-1.2ubuntu2
2013-12-03 16:11:20 status unpacked libcap2:amd64 1:2.22-1.2ubuntu2
2013-12-03 16:11:20 status unpacked libcap2:amd64 1:2.22-1.2ubuntu2
2013-12-03 16:11:20 install libcomerr2:amd64 <none> 1.42.8-1ubuntu1
2013-12-03 16:11:20 status half-installed libcomerr2:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:20 status unpacked libcomerr2:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:20 status unpacked libcomerr2:amd64 1.42.8-1ubuntu1
2013-12-03 16:11:21 install libdb5.1:amd64 <none> 5.1.29-7
2013-12-03 16:11:21 status half-installed libdb5.1:amd64 5.1.29-7
2013-12-03 16:11:21 status unpacked libdb5.1:amd64 5.1.29-7
2013-12-03 16:11:21 status unpacked libdb5.1:amd64 5.1.29-7
2013-12-03 16:11:21 install libdbus-1-3:amd64 <none> 1.6.12-0ubuntu10
2013-12-03 16:11:21 status half-installed libdbus-1-3:amd64 1.6.12-0ubuntu10
2013-12-03 16:11:22 status unpacked libdbus-1-3:amd64 1.6.12-0ubuntu10
2013-12-03 16:11:22 status unpacked libdbus-1-3:amd64 1.6.12-0ubuntu10
2013-12-03 16:11:22 install libdrm2:amd64 <none> 2.4.46-1
2013-12-03 16:11:22 status half-installed libdrm2:amd64 2.4.46-1
2013-12-03 16:11:22 status unpacked libdrm2:amd64 2.4.46-1
2013-12-03 16:11:22 status unpacked libdrm2:amd64 2.4.46-1
2013-12-03 16:11:23 install libgcc1:amd64 <none> 1:4.8.1-10ubuntu8
2013-12-03 16:11:23 status half-installed libgcc1:amd64 1:4.8.1-10ubuntu8
2013-12-03 16:11:23 status unpacked libgcc1:amd64 1:4.8.1-10ubuntu8
2013-12-03 16:11:23 status unpacked libgcc1:amd64 1:4.8.1-10ubuntu8
2013-12-03 16:11:23 install libjson-c2:amd64 <none> 0.11-2ubuntu1
2013-12-03 16:11:23 status half-installed libjson-c2:amd64 0.11-2ubuntu1
2013-12-03 16:11:23 status unpacked libjson-c2:amd64 0.11-2ubuntu1
2013-12-03 16:11:23 status unpacked libjson-c2:amd64 0.11-2ubuntu1
2013-12-03 16:11:23 install libjson0:amd64 <none> 0.11-2ubuntu1
2013-12-03 16:11:23 status half-installed libjson0:amd64 0.11-2ubuntu1
2013-12-03 16:11:24 status unpacked libjson0:amd64 0.11-2ubuntu1
2013-12-03 16:11:24 status unpacked libjson0:amd64 0.11-2ubuntu1
2013-12-03 16:11:24 install libklibc:amd64 <none> 2.0.1-3.1ubuntu2
2013-12-03 16:11:24 status half-installed libklibc:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:24 status unpacked libklibc:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:24 status unpacked libklibc:amd64 2.0.1-3.1ubuntu2
2013-12-03 16:11:25 install libkmod2:amd64 <none> 9-3ubuntu1
2013-12-03 16:11:25 status half-installed libkmod2:amd64 9-3ubuntu1
2013-12-03 16:11:25 status unpacked libkmod2:amd64 9-3ubuntu1
2013-12-03 16:11:25 status unpacked libkmod2:amd64 9-3ubuntu1
2013-12-03 16:11:25 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu1
2013-12-03 16:11:25 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-12-03 16:11:25 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-12-03 16:11:25 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu1
2013-12-03 16:11:26 install libmount1:amd64 <none> 2.20.1-5.1ubuntu9
2013-12-03 16:11:26 status half-installed libmount1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:26 status unpacked libmount1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:26 status unpacked libmount1:amd64 2.20.1-5.1ubuntu9
2013-12-03 16:11:26 install libncurses5:amd64 <none> 5.9+20130608-1ubuntu1
2013-12-03 16:11:26 status half-installed libncurses5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:26 status unpacked libncurses5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 status unpacked libncurses5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 install libncursesw5:amd64 <none> 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 status half-installed libncursesw5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 status unpacked libncursesw5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 status unpacked libncursesw5:amd64 5.9+20130608-1ubuntu1
2013-12-03 16:11:27 install libnih-dbus1:amd64 <none> 1.0.3-4ubuntu16
2013-12-03 16:11:27 status half-installed libnih-dbus1:amd64 1.0.3-4ubuntu16
